From_ID,To_ID,NearRank,From_attribute_0,From_ID_Orig,From_Latitude,From_Longitude,To_region,To_district,To_ward,To_latitude,To_longitude,To_bank_type,To_bank_name,To_weekend_trading,To_yr_started,To_yr_started_reformatted,Total_Kilometers
26,365,1,,1335,-7.77454325,35.69337587,Iringa,Iringa Urban,Gangilonga,-7.77677,35.69846,Commercial Bank,National Microfinance Bank Plc,Yes,01/02/97,1997-2-01,0.61248087
26,89,2,,1335,-7.77454325,35.69337587,Iringa,Iringa Urban,Gangilonga,-7.77669,35.69893,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,01/12/08,2008-12-01,0.65702768
27,498,1,,1251,-6.21997069,39.23239912,Zanzibar,Zanzibar,Mtoni,-6.19667,39.21155,Commercial Bank,Peoples' Bank of Zanzibar Limited,No,01/06/12,2012-6-01,3.45886089
27,499,2,,1251,-6.21997069,39.23239912,Zanzibar,Zanzibar,Mwanakwerekwe,-6.17699,39.22488,Commercial Bank,Peoples' Bank of Zanzibar Limited,No,09/01/10,2010-1-01,4.82540652
28,207,1,,5036,-1.3240641,31.79062686,Kagera,Bukoba Urban,Bakoba,-1.3298,31.81031,Commercial Bank,CRDB Bank Plc,Yes,12/07/74,1974-7-01,2.28050862
28,561,2,,5036,-1.3240641,31.79062686,Kagera,Bukoba Urban,Mimbeni,-1.32979,31.81142,Commercial Bank,Tanzania Postal Bank,No,04/05/00,2000-5-01,2.3991267
29,131,1,,599,-3.35223512,37.34738616,Kilimanjaro,Rombo,Olele,-3.34935,37.34385,Commercial Bank,CRDB Bank Plc,Yes,08/06/00,2000-6-01,0.50616927
29,602,2,,599,-3.35223512,37.34738616,Kilimanjaro,Moshi Urban,Kilimanjaro,-3.35122,37.34267,Community Bank,Kilimanjaro Cooperative Bank,Yes,15/09/09,2009-9-01,0.53599444
30,436,1,,794,-6.81906576,37.64553234,Morogoro,Morogoro Urban,Kingo,-6.82352,37.66294,Commercial Bank,National Microfinance Bank Plc,Yes,01/12/10,2010-12-01,1.98623619
30,158,2,,794,-6.81906576,37.64553234,Morogoro,Morogoro Urban,Sabasaba,-6.82453,37.66295,Commercial Bank,CRDB Bank Plc,Yes,06/03/10,2010-3-01,2.01789976
31,528,1,,3158,-4.29046851,35.85896743,Manyara,Babati,Babati,-4.21416,35.74862,Commercial Bank,Tanzania Postal Bank,No,01/01/07,2007-1-01,14.87520375
31,252,2,,3158,-4.29046851,35.85896743,Manyara,Babati,Babati,-4.2136,35.74888,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,10/12/12,2012-12-01,14.88671293
32,413,1,,3959,-2.76226635,33.61667942,Mwanza,Magu,Kiloleni,-2.59167,33.44263,Commercial Bank,National Microfinance Bank Plc,No,10/01/07,2007-1-01,27.02647813
32,190,2,,3959,-2.76226635,33.61667942,Shinyanga,Bariadi,Bariadi,-2.80544,33.98531,Commercial Bank,CRDB Bank Plc,No,20/09/12,2012-9-01,41.26474304
33,114,1,,1241,-8.89881746,33.54752,Mbeya,Mbeya Urban,Maanga,-8.91241,33.46927,Commercial Bank,Commercial Bank of Africa (Tanzania) Limited,Yes,10/02/11,2011-2-01,8.73674364
33,399,2,,1241,-8.89881746,33.54752,Mbeya,Mbeya Urban,Maanga,-8.91258,33.46692,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01,8.99462533
34,40,1,,4986,-3.83143513,32.68175493,Shinyanga,Kahama,Kahama Mjini,-3.83015,32.60485,Commercial Bank,Azania Bank Limited,Yes,14/12/13,2013-12-01,8.54320179
34,464,2,,4986,-3.83143513,32.68175493,Shinyanga,Kahama,Kahama Mjini,-3.83013,32.60474,Commercial Bank,NBC Bank Limited,No,14/12/13,2013-12-01,8.55546001
35,146,1,,4109,-8.56809005,32.12579976,Rukwa,Sumbawanga Urban,Katandala,-7.96714,31.61679,Commercial Bank,CRDB Bank Plc,Yes,10/05/96,1996-5-01,86.96013574
35,530,2,,4109,-8.56809005,32.12579976,Rukwa,Sumbawanga Urban,Katandala,-7.96457,31.6156,Commercial Bank,Tanzania Postal Bank,No,07/01/09,2009-1-01,87.26207167
36,162,1,,8121,-11.46744994,36.97928803,Ruvuma,Songea Urban,Songea Mjini,-10.67843,35.65308,Commercial Bank,CRDB Bank Plc,Yes,25/07/97,1997-7-01,169.15571779
36,560,2,,8121,-11.46744994,36.97928803,Ruvuma,Songea Urban,Songea Mjini,-10.67941,35.6515,Commercial Bank,Tanzania Postal Bank,Yes,04/02/14,2014-2-01,169.24755701
37,344,1,,3895,-4.09021965,34.73737265,Singida,Iramba,Kiomboi,-4.27852,34.40684,Commercial Bank,National Microfinance Bank Plc,Yes,10/02/90,1990-2-01,42.19310104
37,153,2,,3895,-4.09021965,34.73737265,Singida,Iramba,Kiomboi,-4.28174,34.40757,Commercial Bank,CRDB Bank Plc,Yes,15/01/10,2010-1-01,42.29971223
38,408,1,,8054,-10.5117961,38.99460256,Mtwara,Masasi,Masasi,-10.72288,38.81644,Commercial Bank,National Microfinance Bank Plc,Yes,04/10/97,1997-10-01,30.41755202
38,353,2,,8054,-10.5117961,38.99460256,Lindi,Nachingwea,Nambambo,-10.36237,38.76124,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01,30.43059933
39,284,1,,8023,-5.03547203,36.23767486,Manyara,Kiteto,Kibaya,-5.31378,36.5628,Commercial Bank,FINCA Tanzania Ltd,Yes,11/07/12,2012-7-01,47.39730396
39,316,2,,8023,-5.03547203,36.23767486,Manyara,Kiteto,Kibaya,-5.31632,36.56732,Commercial Bank,National Microfinance Bank Plc,Yes,25/10/97,1997-10-01,47.96087014
40,493,1,,6933,-2.40257714,32.32959157,Mwanza,Sengerema,Sengerema,-2.65021,32.64314,Commercial Bank,Tanzania Postal Bank,No,26/02/11,2011-2-01,44.33658479
40,437,2,,6933,-2.40257714,32.32959157,Mwanza,Sengerema,Sengerema,-2.65089,32.64353,Commercial Bank,National Microfinance Bank Plc,No,24/02/99,1999-2-01,44.41714557
41,123,1,,7852,-3.8083338,32.2274935,Shinyanga,Kahama,Kahama Mjini,-3.82759,32.59607,Commercial Bank,CRDB Bank Plc,Yes,14/02/03,2003-2-01,40.9946251
41,70,2,,7852,-3.8083338,32.2274935,Shinyanga,Kahama,Kahama Mjini,-3.82737,32.5965,Commercial Bank,Bank of Africa (Tanzania) Limited,No,08/02/13,2013-2-01,41.04107569
42,406,1,,6063,-8.53949832,32.94378634,Mbeya,Chunya,Itewe,-8.52437,33.42276,Commercial Bank,National Microfinance Bank Plc,Yes,01/07/97,1997-7-01,52.7594541
42,384,2,,6063,-8.53949832,32.94378634,Mbeya,Mbeya Rural,Utengule Usongwe,-8.93526,33.34227,Commercial Bank,National Microfinance Bank Plc,Yes,01/08/10,2010-8-01,61.95581162
43,338,1,,755,-4.8332572,34.76190104,Singida,Singida Urban,Majengo,-4.81879,34.75187,Commercial Bank,National Microfinance Bank Plc,Yes,10/03/00,2000-3-01,1.94872803
43,144,2,,755,-4.8332572,34.76190104,Singida,Singida Urban,Ipembe,-4.81785,34.75296,Commercial Bank,CRDB Bank Plc,Yes,11/10/06,2006-10-01,1.97142202
44,361,1,,6445,-5.71743656,38.23601851,Tanga,Handeni,Chanika,-5.42647,38.01688,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01,40.30926066
44,138,2,,6445,-5.71743656,38.23601851,Tanga,Korogwe,Korogwe,-5.15813,38.44886,Commercial Bank,CRDB Bank Plc,Yes,14/03/08,2008-3-01,66.19554237
45,397,1,,8548,-8.60398999,39.26018757,Lindi,Kilwa,Masoko,-8.93061,39.5128,Commercial Bank,National Microfinance Bank Plc,Yes,01/01/70,1970-1-01,45.57934721
45,562,2,,8548,-8.60398999,39.26018757,Lindi,Kilwa,Masoko,-8.93525,39.51085,Commercial Bank,Tanzania Postal Bank,Yes,07/01/70,1970-1-01,45.85768426
46,474,1,,1549,-2.54540703,32.95831634,Mwanza,Ilemela,Igoma,-2.5405,32.96061,Commercial Bank,NBC Bank Limited,No,01/01/09,2009-1-01,0.59957202
46,415,2,,1549,-2.54540703,32.95831634,Mwanza,Magu,Mwamabanza,-2.53912,32.95571,Commercial Bank,National Microfinance Bank Plc,Yes,31/01/13,2013-1-01,0.75320156
47,321,1,,6617,-3.87132116,35.65140707,Manyara,Mbulu,Mbulu Mjini,-3.85642,35.54205,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01,12.25734337
47,441,2,,6617,-3.87132116,35.65140707,Manyara,Babati,Babati,-4.2132,35.74894,Commercial Bank,NBC Bank Limited,Yes,14/09/08,2008-9-01,39.32568263
48,608,1,,8467,-8.56409232,35.33905815,Iringa,Mufindi,Mafinga,-8.30163,35.29572,Community Bank,Mufindi Community Bank,Yes,24/09/99,1999-9-01,29.41756372
48,189,2,,8467,-8.56409232,35.33905815,Iringa,Mufindi,Mafinga,-8.3004,35.30198,Commercial Bank,CRDB Bank Plc,Yes,11/11/10,2010-11-01,29.44832981
49,344,1,,4116,-4.22585093,34.61299078,Singida,Iramba,Kiomboi,-4.27852,34.40684,Commercial Bank,National Microfinance Bank Plc,Yes,10/02/90,1990-2-01,23.6153151
49,153,2,,4116,-4.22585093,34.61299078,Singida,Iramba,Kiomboi,-4.28174,34.40757,Commercial Bank,CRDB Bank Plc,Yes,15/01/10,2010-1-01,23.62737088
50,196,1,,8125,-8.95365989,32.56461543,Mbeya,Mbozi,Vwawa,-9.10911,32.93272,Commercial Bank,CRDB Bank Plc,Yes,11/02/08,2008-2-01,43.97300635
50,382,2,,8125,-8.95365989,32.56461543,Mbeya,Mbozi,Vwawa,-9.11133,32.93334,Commercial Bank,National Microfinance Bank Plc,Yes,16/07/97,1997-7-01,44.13208553
51,491,1,,1044,-3.99684717,33.37908427,Tabora,Nzega,Nzega Mjini,-4.21839,33.19507,Commercial Bank,NIC Bank (Tanzania) Limited,Yes,18/02/04,2004-2-01,31.90035092
51,392,2,,1044,-3.99684717,33.37908427,Tabora,Nzega,Nzega Mjini,-4.21614,33.1867,Commercial Bank,National Microfinance Bank Plc,Yes,04/04/02,2002-4-01,32.31634683
52,473,1,,2535,-2.61146616,32.07196443,Mwanza,Geita,Kalangala,-2.87273,32.22859,Commercial Bank,NBC Bank Limited,No,01/01/01,2001-1-01,33.73307536
52,188,2,,2535,-2.61146616,32.07196443,Mwanza,Geita,Kalangala,-2.87527,32.22529,Commercial Bank,CRDB Bank Plc,Yes,01/01/09,2009-1-01,33.78728515
53,340,1,,8950,-8.97814972,36.76014005,Morogoro,Kilombero,Ifakara,-8.13761,36.67976,Commercial Bank,National Microfinance Bank Plc,Yes,11/04/99,1999-4-01,93.38295382
53,140,2,,8950,-8.97814972,36.76014005,Morogoro,Kilombero,Ifakara,-8.09695,36.6809,Commercial Bank,CRDB Bank Plc,Yes,15/10/13,2013-10-01,97.84927255
54,493,1,,6099,-2.34096694,32.29512438,Mwanza,Sengerema,Sengerema,-2.65021,32.64314,Commercial Bank,Tanzania Postal Bank,No,26/02/11,2011-2-01,51.64615342
54,437,2,,6099,-2.34096694,32.29512438,Mwanza,Sengerema,Sengerema,-2.65089,32.64353,Commercial Bank,National Microfinance Bank Plc,No,24/02/99,1999-2-01,51.72844796
55,339,1,,5607,-3.4327519,31.51375467,Kigoma,Kibondo,Kibondo Mjini,-3.58551,30.71895,Commercial Bank,National Microfinance Bank Plc,Yes,24/01/90,1990-1-01,89.91339184
55,188,2,,5607,-3.4327519,31.51375467,Mwanza,Geita,Kalangala,-2.87527,32.22529,Commercial Bank,CRDB Bank Plc,Yes,01/01/09,2009-1-01,100.27493405
56,334,1,,8734,-8.12810763,30.96696583,Rukwa,Nkansi,Namanyere,-7.50253,31.03958,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01,69.64763795
56,332,2,,8734,-8.12810763,30.96696583,Rukwa,Sumbawanga Urban,Katandala,-7.95983,31.61096,Commercial Bank,National Microfinance Bank Plc,Yes,31/12/01,2001-12-01,73.38740797
57,174,1,,4734,-6.2650312,36.86940735,Dodoma,Kongwa,Kibaigwa,-6.08117,36.64954,Commercial Bank,CRDB Bank Plc,Yes,15/01/12,2012-1-01,31.71099938
57,400,2,,4734,-6.2650312,36.86940735,Dodoma,Kongwa,Kibaigwa,-6.07966,36.64596,Commercial Bank,National Microfinance Bank Plc,Yes,07/03/12,2012-3-01,32.12239651
58,353,1,,7776,-10.48861938,39.02782579,Lindi,Nachingwea,Nambambo,-10.36237,38.76124,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01,32.35788102
58,133,2,,7776,-10.48861938,39.02782579,Lindi,Nachingwea,Nambambo,-10.3605,38.76145,Commercial Bank,CRDB Bank Plc,Yes,08/10/13,2013-10-01,32.42707584
59,344,1,,9367,-4.02596301,34.50822471,Singida,Iramba,Kiomboi,-4.27852,34.40684,Commercial Bank,National Microfinance Bank Plc,Yes,10/02/90,1990-2-01,30.11101266
59,153,2,,9367,-4.02596301,34.50822471,Singida,Iramba,Kiomboi,-4.28174,34.40757,Commercial Bank,CRDB Bank Plc,Yes,15/01/10,2010-1-01,30.41166936
60,406,1,,3423,-8.57148856,33.44991499,Mbeya,Chunya,Itewe,-8.52437,33.42276,Commercial Bank,National Microfinance Bank Plc,Yes,01/07/97,1997-7-01,6.00786215
60,510,2,,3423,-8.57148856,33.44991499,Mbeya,Mbeya Urban,Sisimba,-8.89167,33.44361,Commercial Bank,Stanbic Bank (Tanzania) Limited,Yes,17/02/07,2007-2-01,35.41882117
61,473,1,,2878,-2.50670896,32.0118141,Mwanza,Geita,Kalangala,-2.87273,32.22859,Commercial Bank,NBC Bank Limited,No,01/01/01,2001-1-01,47.10779819
61,188,2,,2878,-2.50670896,32.0118141,Mwanza,Geita,Kalangala,-2.87527,32.22529,Commercial Bank,CRDB Bank Plc,Yes,01/01/09,2009-1-01,47.16356019
62,229,1,,2356,-3.363681,36.72002605,Arusha,Arusha,Sekei,-3.3639,36.70337,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,Yes,07/01/12,2012-1-01,1.85112524
62,272,2,,2356,-3.363681,36.72002605,Arusha,Arusha,Ngarenaro,-3.3781,36.70425,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,21/11/12,2012-11-01,2.36976315
63,213,1,,229,-6.96839746,39.08681603,Dar es Salaam,Ilala,Chanika,-6.99604,39.08481,Commercial Bank,DCB Commercial Bank Plc,Yes,01/08/12,2012-8-01,3.06502908
63,348,2,,229,-6.96839746,39.08681603,Pwani,Kisarawe,Kisarawe,-6.90545,39.07378,Commercial Bank,National Microfinance Bank Plc,Yes,01/01/97,1997-1-01,7.10889697
64,24,1,,3406,-6.37275189,38.35172048,Pwani,Bagamoyo,Dunda,-6.44428,38.90785,Commercial Bank,Akiba Commercial Bank Limited,Yes,14/11/11,2011-11-01,62.03019923
64,393,2,,3406,-6.37275189,38.35172048,Pwani,Bagamoyo,Dunda,-6.44641,38.90771,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01,62.0452011
65,339,1,,771,-3.25233472,30.9082292,Kigoma,Kibondo,Kibondo Mjini,-3.58551,30.71895,Commercial Bank,National Microfinance Bank Plc,Yes,24/01/90,1990-1-01,42.42313863
65,420,2,,771,-3.25233472,30.9082292,Kagera,Ngara,Ngara Mjini,-2.50943,30.65881,Commercial Bank,National Microfinance Bank Plc,No,01/10/97,1997-10-01,86.70234773
66,162,1,,580,-10.66296868,35.65686511,Ruvuma,Songea Urban,Songea Mjini,-10.67843,35.65308,Commercial Bank,CRDB Bank Plc,Yes,25/07/97,1997-7-01,1.75963515
66,460,2,,580,-10.66296868,35.65686511,Ruvuma,Songea Urban,Songea Mjini,-10.67801,35.64992,Commercial Bank,NBC Bank Limited,Yes,30/08/95,1995-8-01,1.82905386
67,412,1,,6163,-2.8528492,32.88685392,Mwanza,Misungwi,Misungwi,-2.83156,33.07785,Commercial Bank,National Microfinance Bank Plc,Yes,20/01/09,2009-1-01,21.36569574
67,199,2,,6163,-2.8528492,32.88685392,Mwanza,Nyamagana,Nyamagana,-2.6012,32.90016,Commercial Bank,CRDB Bank Plc,Yes,01/01/09,2009-1-01,27.86587461
68,162,1,,6212,-10.46735817,36.13244508,Ruvuma,Songea Urban,Songea Mjini,-10.67843,35.65308,Commercial Bank,CRDB Bank Plc,Yes,25/07/97,1997-7-01,57.42303393
68,560,2,,6212,-10.46735817,36.13244508,Ruvuma,Songea Urban,Songea Mjini,-10.67941,35.6515,Commercial Bank,Tanzania Postal Bank,Yes,04/02/14,2014-2-01,57.62501179
69,414,1,,8574,-6.87575725,39.2326073,Mtwara,Tandahimba,Tandahimba,-6.85979,39.21327,Commercial Bank,National Microfinance Bank Plc,Yes,19/11/09,2009-11-01,2.77237571
69,64,2,,8574,-6.87575725,39.2326073,Dar es Salaam,Temeke,Tandika,-6.8684,39.25997,Commercial Bank,Bank of Africa (Tanzania) Limited,No,31/07/09,2009-7-01,3.1317991
70,64,1,,8278,-6.88329466,39.25354774,Dar es Salaam,Temeke,Tandika,-6.8684,39.25997,Commercial Bank,Bank of Africa (Tanzania) Limited,No,31/07/09,2009-7-01,1.79363342
70,18,2,,8278,-6.88329466,39.25354774,Dar es Salaam,Temeke,Tandika,-6.86729,39.26142,Commercial Bank,Akiba Commercial Bank Limited,Yes,26/03/09,2009-3-01,1.97225557
71,466,1,,3919,-3.821738,33.30840363,Shinyanga,Shinyanga Urban,Shinyanga Mjini,-3.67312,33.42662,Commercial Bank,NBC Bank Limited,No,10/05/96,1996-5-01,21.03622478
71,570,2,,3919,-3.821738,33.30840363,Shinyanga,Shinyanga Urban,Kambarage,-3.66953,33.42327,Commercial Bank,Tanzanian Postal Bank,No,02/12/13,2013-12-01,21.12092914
