From_ID,To_ID,NearRank,From_attribute_0,From_ID_Orig,From_Latitude,From_Longitude,To_Point_Count,To_GRID_ID,To_AnalysisArea,Total_Kilometers
15,32053,2,,3543,-6.16905276,39.19848943,3,IM-114,21.65063529,2.20846079
16,60298,1,,6554,-1.33874499,30.90011959,15,AH-12,21.65063536,14.44903448
16,60852,2,,6554,-1.33874499,30.90011959,1,AD-10,21.65063564,16.49985542
17,5265,2,,7769,-10.48837106,39.02761703,3,II-210,21.65063521,3.00712009
18,50132,2,,4226,-3.18034209,36.86123796,8,GI-49,21.65063553,13.30431528
19,61688,2,,6997,-1.26182551,30.67859149,11,AC-7,21.6506351,1.13032276
20,21919,2,,987,-7.7826408,35.66559916,472,FA-150,21.65063554,0.66981974
21,41018,1,,5576,-4.61491779,29.78760859,7,E-81,21.65063544,1.61479588
21,41857,2,,5576,-4.61491779,29.78760859,2,G-78,21.65063515,11.20551021
22,53375,2,,2272,-2.59741921,32.91360135,108,CH-37,21.6506351,0.34706686
23,2457,1,,8277,-10.91885915,38.0026558,15,HQ-220,21.6506352,37.59747046
23,3858,2,,8277,-10.91885915,38.0026558,1,HW-215,21.65063554,67.56298001
24,14922,1,,3007,-8.87183105,34.95540407,5,EE-175,21.65063497,11.82196638
24,15201,2,,3007,-8.87183105,34.95540407,321,EE-174,21.65063522,11.8273997
25,38452,1,,915,-5.07269918,38.45452481,1,HU-91,21.65063506,1.99425156
25,38450,2,,915,-5.07269918,38.45452481,1,HS-91,21.65063499,2.09243602
26,21640,2,,1335,-7.77454325,35.69337587,90,FA-151,21.65063545,1.01048513
27,31496,1,,1251,-6.21997069,39.23239912,48,IN-116,21.65063502,0.34078379
27,31495,2,,1251,-6.21997069,39.23239912,41,IM-116,21.65063535,0.60747174
28,61716,2,,5036,-1.3240641,31.79062686,11,BE-7,21.65063547,1.3814473
29,49024,2,,599,-3.35223512,37.34738616,336,GQ-53,21.65063514,1.22081568
30,27549,2,,794,-6.81906576,37.64553234,13,GY-130,21.65063495,1.28175898
31,43406,1,,3158,-4.29046851,35.85896743,22,FE-73,21.65063503,0.29316246
31,43404,2,,3158,-4.29046851,35.85896743,2,FC-73,21.65063559,8.17536074
32,52272,1,,3959,-2.76226635,33.61667942,13,CU-41,21.65063582,19.85552275
32,51437,2,,3959,-2.76226635,33.61667942,15,CW-44,21.65063544,22.6785336
33,14610,2,,1241,-8.89881746,33.54752,227,CX-176,21.65063523,0.24631036
34,46114,2,,4986,-3.83143513,32.68175493,7,CA-63,21.65063522,1.72452811
35,16804,1,,4109,-8.56809005,32.12579976,5,BL-168,21.65063511,6.91033971
35,16525,2,,4109,-8.56809005,32.12579976,4,BL-169,21.65063534,7.40662658
36,4911,1,,8121,-11.46744994,36.97928803,3,FL-211,21.65063558,138.92545129
36,5190,2,,8121,-11.46744994,36.97928803,24,FL-210,21.65063548,142.73635001
37,44215,1,,3895,-4.09021965,34.73737265,1,EC-70,21.65063536,2.89642956
37,43379,2,,3895,-4.09021965,34.73737265,1,ED-73,21.65063513,15.92074144
38,4985,1,,8054,-10.5117961,38.99460256,14,IH-211,21.65063562,2.45375741
38,4704,2,,8054,-10.5117961,38.99460256,1,IF-212,21.65063517,2.52354934
39,37837,1,,8023,-5.03547203,36.23767486,1,FP-93,21.6506352,11.11532047
39,38113,2,,8023,-5.03547203,36.23767486,1,FM-92,21.65063558,11.67534694
40,55034,1,,6933,-2.40257714,32.32959157,4,BS-31,21.65063508,0.63783926
40,54757,2,,6933,-2.40257714,32.32959157,1,BU-32,21.6506354,6.5815924
41,46101,1,,7852,-3.8083338,32.2274935,15,BN-63,21.65063512,7.25272446
41,46100,2,,7852,-3.8083338,32.2274935,1,BM-63,21.65063532,11.59322481
42,17666,1,,6063,-8.53949832,32.94378634,16,CK-165,21.65063518,11.0252232
42,17945,2,,6063,-8.53949832,32.94378634,3,CK-164,21.65063551,15.24768798
43,40309,2,,755,-4.8332572,34.76190104,10,EC-84,21.6506352,4.2157086
44,33983,1,,6445,-5.71743656,38.23601851,13,HP-107,21.65063542,7.84463083
44,35102,2,,6445,-5.71743656,38.23601851,3,HS-103,21.6506354,19.72128457
45,16986,1,,8548,-8.60398999,39.26018757,1,IL-168,21.65063538,8.2875337
45,17267,2,,8548,-8.60398999,39.26018757,8,IN-167,21.65063574,8.6423126
46,54213,2,,1549,-2.54540703,32.95831634,125,CI-34,21.65063528,1.40023914
47,46192,1,,6617,-3.87132116,35.65140707,3,FA-63,21.65063532,3.56628752
47,45635,2,,6617,-3.87132116,35.65140707,1,FB-65,21.65063528,5.35431253
48,18282,1,,8467,-8.56409232,35.33905815,7,EQ-163,21.65063537,21.41280357
48,18283,2,,8467,-8.56409232,35.33905815,2,ER-163,21.65063558,23.64455707
49,43098,2,,4116,-4.22585093,34.61299078,7,EB-74,21.65063543,10.64794655
50,14869,1,,8125,-8.95365989,32.56461543,6,CD-175,21.65063539,19.21783454
50,14870,2,,8125,-8.95365989,32.56461543,2,CE-175,21.65063537,22.19485702
51,46130,1,,1044,-3.99684717,33.37908427,3,CQ-63,21.6506354,20.12040746
51,45849,2,,1044,-3.99684717,33.37908427,19,CO-64,21.65063522,22.96001388
52,53912,2,,2535,-2.61146616,32.07196443,4,BM-35,21.6506355,4.13370031
53,16365,1,,8950,-8.97814972,36.76014005,18,GA-170,21.650635,32.23177092
53,18038,2,,8950,-8.97814972,36.76014005,2,FZ-164,21.65063494,65.11310921
54,55312,1,,6099,-2.34096694,32.29512438,8,BR-30,21.65063513,1.3265741
54,55034,2,,6099,-2.34096694,32.29512438,4,BS-31,21.65063508,3.13214729
55,48875,1,,5607,-3.4327519,31.51375467,100,AX-53,21.65063549,7.11861815
55,48594,2,,5607,-3.4327519,31.51375467,6,AV-54,21.65063519,7.24485635
56,17618,1,,8734,-8.12810763,30.96696583,2,AO-165,21.65063529,36.02096219
56,18465,2,,8734,-8.12810763,30.96696583,8,AY-162,21.65063526,62.24759071
57,31714,2,,4734,-6.2650312,36.86940735,1,GE-115,21.65063528,7.45300039
58,5265,2,,7776,-10.48861938,39.02782579,3,II-210,21.65063521,2.999744
59,43928,1,,9367,-4.02596301,34.50822471,1,DU-71,21.65063553,16.38794639
59,44204,2,,9367,-4.02596301,34.50822471,5,DR-70,21.6506353,20.70829689
60,17118,2,,3423,-8.57148856,33.44991499,43,CU-167,21.65063543,3.36215872
61,54188,2,,2878,-2.50670896,32.0118141,4,BJ-34,21.65063521,1.27799339
62,49008,2,,2356,-3.363681,36.72002605,1387,GA-53,21.650635,0.21061513
63,26470,2,,229,-6.96839746,39.08681603,61,IJ-134,21.65063534,2.01135865
64,30637,1,,3406,-6.37275189,38.35172048,22,HR-119,21.65063555,2.76486028
64,30078,2,,3406,-6.37275189,38.35172048,11,HQ-121,21.65063501,5.46193512
65,49139,1,,771,-3.25233472,30.9082292,1,AI-52,21.65063536,5.36262985
65,49140,2,,771,-3.25233472,30.9082292,14,AJ-52,21.65063552,6.00866476
66,3783,2,,580,-10.66296868,35.65686511,293,EZ-215,21.65063509,0.07846729
67,51699,1,,6163,-2.8528492,32.88685392,5,CF-43,21.65063502,4.31652695
67,52256,2,,6163,-2.8528492,32.88685392,3,CE-41,21.65063565,7.25410173
68,4911,2,,6212,-10.46735817,36.13244508,3,FL-211,21.65063558,1.59365509
69,27310,2,,8574,-6.87575725,39.2326073,181,IM-131,21.65063517,1.16183278
70,27312,2,,8278,-6.88329466,39.25354774,571,IO-131,21.65063535,1.12301081
71,46130,1,,3919,-3.821738,33.30840363,3,CQ-63,21.6506354,1.70876367
71,46412,2,,3919,-3.821738,33.30840363,1,CT-62,21.65063513,8.55362258
72,972,2,,8883,-11.263398,34.79128086,2,EE-225,21.6506351,8.79954516
73,22366,1,,5677,-7.85425891,31.1757775,2,AT-148,21.65063536,26.54710636
73,23195,2,,5677,-7.85425891,31.1757775,38,AL-145,21.65063501,38.88282075
74,43462,2,,9209,-4.26860253,38.05357002,11,HI-73,21.65063548,0.78241445
75,3787,1,,7050,-11.40079283,36.42848862,1,FD-215,21.65063486,101.24688372
75,4911,2,,7050,-11.40079283,36.42848862,3,FL-211,21.65063558,101.76814841
76,32053,2,,1531,-6.14814684,39.2228004,3,IM-114,21.65063529,0.75842775
77,15201,1,,7922,-8.79798017,34.99025617,321,EE-174,21.65063522,16.39318366
77,14922,2,,7922,-8.79798017,34.99025617,5,EE-175,21.65063497,18.65518158
78,30572,1,,4397,-6.29072293,35.88227777,10,FE-119,21.65063535,5.72568494
78,31409,2,,4397,-6.29072293,35.88227777,18,FE-116,21.65063542,6.08593083
79,40548,1,,3170,-4.57358799,33.03776076,2,CO-83,21.6506352,20.94014848
79,39991,2,,3170,-4.57358799,33.03776076,14,CP-85,21.65063529,29.34259465
80,36808,2,,6376,-5.24594851,39.78153458,5,IY-97,21.65063539,14.99403685
81,50138,2,,5472,-3.20246304,37.20556708,7,GO-49,21.65063494,1.62282051
82,3858,1,,9138,-10.75077606,38.53076548,1,HW-215,21.65063554,7.3496488
82,3580,2,,9138,-10.75077606,38.53076548,2,HX-216,21.65063491,10.18812534
83,30845,1,,6020,-6.57002874,35.51702142,3,EY-118,21.65063515,27.41865239
83,30291,2,,6020,-6.57002874,35.51702142,2,FC-120,21.65063496,30.36393832
84,27033,2,,8658,-6.9315708,39.2627114,223,IO-132,21.65063543,0.10695415
85,33103,1,,919,-5.95904711,36.69328201,6,FY-110,21.65063534,5.16543474
85,32547,2,,919,-5.95904711,36.69328201,3,GA-112,21.65063512,6.37465459
86,2203,1,,6035,-10.91989576,39.38172881,2,IP-221,21.65063501,1.41056105
86,2762,2,,6035,-10.91989576,39.38172881,1,IQ-219,21.65063537,1.61180723
87,57838,2,,6925,-1.94038467,32.85856349,10,CG-21,21.65063557,0.56716939
88,12381,1,,5146,-9.33031317,33.71555106,22,DA-184,21.65063542,5.74743015
88,12106,2,,5146,-9.33031317,33.71555106,3,DE-185,21.65063521,6.93465684
89,49024,2,,1169,-3.35037913,37.30188854,336,GQ-53,21.65063514,0.14405086
90,48369,1,,3449,-3.36559136,33.53726776,3,CX-55,21.65063511,5.45285428
90,49766,2,,3449,-3.36559136,33.53726776,2,CZ-50,21.65063472,16.40430839
91,12410,1,,5307,-9.23731241,34.89157655,7,ED-184,21.65063508,10.03272571
91,12131,2,,5307,-9.23731241,34.89157655,189,ED-185,21.65063486,12.57471964
92,12130,1,,1354,-9.49385658,34.65333495,117,EC-185,21.65063553,16.16387324
92,11852,2,,1354,-9.49385658,34.65333495,60,ED-186,21.65063503,17.10349834
93,4061,2,,393,-10.67473747,35.64183403,45,EY-214,21.65063503,0.99069147
94,8630,1,,558,-9.93089752,39.72115387,2,IZ-198,21.65063507,0.84845898
94,8350,2,,558,-9.93089752,39.72115387,65,IY-199,21.65063535,2.39588269
95,45079,2,,1624,-3.90304871,35.81426291,5,FD-67,21.65063506,6.07608425
96,27589,2,,151,-6.83370162,39.24087062,554,IM-130,21.65063557,1.80054897
97,46971,2,,1515,-3.62754058,33.40638784,254,CU-60,21.65063523,4.0133613
98,57305,2,,9233,-2.04015789,33.83592211,1,DF-23,21.65063532,3.04287278
99,52234,1,,5230,-2.74515319,31.88753692,1,BI-41,21.65063522,8.08788219
99,52509,2,,5230,-2.74515319,31.88753692,1,BE-40,21.65063562,9.01981063
100,46972,2,,862,-3.67416708,33.4410097,7,CV-60,21.65063489,0.10833917
101,22194,1,,3874,-7.75707127,35.48008133,6,EW-149,21.65063545,4.51057665
101,21638,2,,3874,-7.75707127,35.48008133,4,EY-151,21.65063506,12.47897153
102,25711,2,,8078,-7.2557727,31.39929365,7,AQ-136,21.65063566,21.60809356
103,31775,2,,3920,-6.17026527,39.22253025,13,IN-115,21.65063535,0.40403938
104,4979,1,,9188,-10.51940931,38.67832566,6,IB-211,21.65063522,10.95313578
104,4421,2,,9188,-10.51940931,38.67832566,2,IB-213,21.65063481,13.25949475
105,17926,1,,4551,-8.46032763,32.15847508,4,BR-164,21.65063492,13.63075142
105,16804,2,,4551,-8.46032763,32.15847508,5,BL-168,21.65063511,13.9263821
106,22486,2,,2620,-7.68149797,36.03874388,8,FJ-148,21.65063523,1.24627973
107,52810,1,,3975,-2.7743338,32.70359252,1,CA-39,21.65063531,5.21373327
107,52813,2,,3975,-2.7743338,32.70359252,3,CD-39,21.65063498,6.60696646
108,60652,2,,1209,-1.49823944,33.80838533,3,DE-11,21.65063515,0.59097457
109,39842,2,,3696,-4.79615125,38.29238409,2,HP-86,21.6506355,2.17749738
110,54491,2,,2134,-2.4168124,32.93534714,38,CH-33,21.65063549,0.54223703
111,24516,1,,9410,-7.28900961,38.99792171,21,II-141,21.65063521,6.1442094
111,24238,2,,9410,-7.28900961,38.99792171,1,IJ-142,21.65063525,11.08811989
112,2457,1,,8259,-11.04289071,37.43360887,15,HQ-220,21.6506352,100.5106929
112,3858,2,,8259,-11.04289071,37.43360887,1,HW-215,21.65063554,130.92963255
113,12931,1,,4922,-9.2401144,33.3392101,6,CS-182,21.65063482,0.73124075
113,13493,2,,4922,-9.2401144,33.3392101,1,CW-180,21.65063538,18.45651457
114,40958,1,,4934,-4.64239636,38.32172276,18,HP-82,21.65063554,0.77500413
114,41517,2,,4934,-4.64239636,38.32172276,10,HQ-80,21.65063515,3.33421281
115,20420,2,,5602,-8.29548706,31.52009092,102,BA-155,21.6506358,33.05649584
116,27308,2,,124,-6.88544157,39.15487472,118,IK-131,21.6506348,0.68276617
117,17160,1,,7990,-8.58424757,35.20765615,7,EK-167,21.65063498,14.6220466
117,17439,2,,7990,-8.58424757,35.20765615,9,EK-166,21.65063547,17.02725104
118,57004,2,,7735,-2.03701413,33.02725406,2,CJ-24,21.65063513,0.54756193
119,47620,2,,8847,-3.54557136,36.98624673,73,GH-58,21.65063527,0.77307583
120,6688,2,,804,-10.28169602,40.19747509,15,JK-205,21.65063527,1.64819097
121,12130,2,,8065,-9.33519347,34.76612567,117,EC-185,21.65063553,0.17427167
122,2204,1,,5901,-11.10779697,39.32546201,1,IQ-221,21.65063538,13.98305669
122,2203,2,,5901,-11.10779697,39.32546201,2,IP-221,21.65063501,14.98518744
123,12358,2,,2196,-9.2956571,32.75979208,8,CD-184,21.65063529,0.1807133
124,27868,2,,187,-6.8190738,39.23891902,1328,IM-129,21.65063528,1.47032855
125,16986,1,,8676,-8.61632576,39.26433887,1,IL-168,21.65063538,9.36652131
125,17267,2,,8676,-8.61632576,39.26433887,8,IN-167,21.65063574,10.0078931
126,49457,1,,3656,-3.14734128,32.36980862,76,BV-51,21.65063546,12.09235621
126,49456,2,,3656,-3.14734128,32.36980862,12,BU-51,21.65063533,12.41561663
127,48706,1,,6728,-3.34885542,35.78177151,5,FD-54,21.65063533,2.381294
127,49264,2,,6728,-3.34885542,35.78177151,2,FD-52,21.65063494,2.72618931
128,35610,1,,7751,-5.60573615,36.56213198,10,FU-101,21.65063504,10.39432478
128,35051,2,,7751,-5.60573615,36.56213198,2,FT-103,21.65063532,12.22694935
129,58700,1,,2448,-1.87536698,33.70180501,19,DF-18,21.65063531,18.23475128
129,57305,2,,2448,-1.87536698,33.70180501,1,DF-23,21.65063532,18.45561658
130,31496,1,,1426,-6.22058606,39.23271071,48,IN-116,21.65063502,0.40890559
130,31495,2,,1426,-6.22058606,39.23271071,41,IM-116,21.65063535,0.6711267
131,40873,1,,966,-4.6137183,34.94999894,2,EI-82,21.65063505,5.45144346
131,40874,2,,966,-4.6137183,34.94999894,6,EJ-82,21.65063545,6.7950218
132,52263,2,,5400,-2.84404439,33.08184245,8,CL-41,21.65063524,1.91306538
133,21640,2,,2666,-7.78092072,35.69345854,90,FA-151,21.65063545,0.30516605
134,48628,2,,2155,-3.28253814,32.87852015,3,CD-54,21.65063545,15.04275312
135,3325,1,,1972,-10.77977942,39.54916804,1,IV-217,21.6506351,2.35104491
135,3044,2,,1972,-10.77977942,39.54916804,2,IT-218,21.65063546,2.62386446
136,14922,2,,2123,-8.84422538,34.82567814,5,EE-175,21.65063497,3.03770991
137,25711,2,,7064,-7.11044993,31.1672481,7,AQ-136,21.65063566,3.73731185
138,3584,1,,7074,-10.66317936,38.75113804,70,IB-216,21.65063495,6.26110229
138,4421,2,,7074,-10.66317936,38.75113804,2,IB-213,21.65063481,7.04790649
139,18465,1,,8424,-8.63565828,31.4297796,8,AY-162,21.65063526,35.81793978
139,17618,2,,8424,-8.63565828,31.4297796,2,AO-165,21.65063529,36.45079728
140,2201,1,,4487,-10.85329033,39.27796148,32,IN-221,21.65063535,8.34888557
140,2762,2,,4487,-10.85329033,39.27796148,1,IQ-219,21.65063537,10.75953547
141,40304,2,,3829,-4.76098716,34.58148382,4,DX-84,21.6506353,0.9047607
142,27309,2,,190,-6.907859,39.16891368,364,IL-131,21.65063533,1.32533003
143,14038,2,,1509,-9.01023669,33.00566594,16,CJ-178,21.650635,0.27621601
144,56791,1,,8971,-1.9593884,35.3481662,8,EX-25,21.65063554,25.13361872
144,57071,2,,8971,-1.9593884,35.3481662,7,EY-24,21.65063531,27.8327357
145,14888,2,,1695,-8.9059578,33.46199561,187,CW-175,21.65063529,0.81976431
146,4063,2,,1468,-10.62934442,35.70397749,13,FA-214,21.6506355,1.28560105
147,38294,1,,6145,-5.24108321,32.3378338,9,BS-91,21.65063559,14.43175691
147,38018,2,,6145,-5.24108321,32.3378338,3,BV-92,21.65063599,15.86223239
148,49007,2,,2476,-3.35808547,36.68217033,134,FZ-53,21.65063536,0.6045115
149,11692,1,,7818,-9.40559508,39.59767219,2,IS-187,21.65063508,12.37851071
149,10857,2,,7818,-9.40559508,39.59767219,1,IU-190,21.65063526,16.07963448
150,32308,2,,3421,-6.12111736,38.40738057,3,HO-113,21.65063493,13.7674967
151,27312,2,,9328,-6.85707122,39.281856,571,IO-131,21.65063535,1.76096291
152,47460,1,,2149,-3.42071962,30.74115794,71,AD-58,21.65063505,14.12176034
152,48580,2,,2149,-3.42071962,30.74115794,1,AH-54,21.65063542,14.16253309
153,27590,2,,45,-6.79824409,39.24889276,1256,IN-130,21.65063495,0.76641768
154,3783,2,,800,-10.66145048,35.6571607,293,EZ-215,21.65063509,0.24638709
155,32053,2,,2881,-6.16361129,39.19200013,3,IM-114,21.65063529,1.60530801
156,21920,1,,2324,-7.75096627,35.86473801,80,FB-150,21.65063514,12.57039475
156,21641,2,,2324,-7.75096627,35.86473801,8,FB-151,21.65063515,12.99838036
157,3580,1,,9069,-10.78434469,38.62104282,2,HX-216,21.65063491,4.12448045
157,3858,2,,9069,-10.78434469,38.62104282,1,HW-215,21.65063554,6.37859135
158,35792,2,,5106,-5.61821773,32.74653101,9,CB-100,21.65063529,14.87524726
159,14922,2,,2839,-8.84722257,34.82323638,5,EE-175,21.65063497,2.70617546
160,31686,2,,9007,-6.15377987,35.73856115,953,FC-115,21.65063527,1.02413716
161,43683,2,,528,-4.21586683,35.73768191,174,FC-72,21.65063556,0.49340696
162,15748,2,,364,-8.69595658,34.37510245,2,DT-172,21.65063533,1.93454563
163,15171,2,,1826,-8.77739677,33.64056205,8,DA-174,21.65063542,5.34487719
164,25711,2,,8094,-7.25199364,31.3957734,7,AQ-136,21.65063566,21.05180146
165,53375,2,,2292,-2.59702558,32.91295724,108,CH-37,21.6506351,0.39055945
166,60653,1,,3953,-1.30202403,33.94418538,7,DF-11,21.65063565,16.14049317
166,62611,2,,3953,-1.30202403,33.94418538,20,DK-4,21.65063531,17.16976189
167,27032,2,,8297,-6.89787669,39.2830428,439,IN-132,21.65063521,2.24988369
168,40548,2,,3351,-4.77570805,33.23885743,2,CO-83,21.6506352,5.16371775
169,12358,2,,1906,-9.29416408,32.76011677,8,CD-184,21.65063529,0.12883597
170,4448,1,,1314,-10.5510232,39.79038202,2,JC-213,21.65063543,8.05965533
170,3888,2,,1314,-10.5510232,39.79038202,3,JA-215,21.65063499,13.97236272
171,43664,2,,4784,-4.36296249,35.07469497,45,EJ-72,21.65063531,15.44890699
172,15464,2,,2268,-8.80259681,34.22394153,1,DO-173,21.65063549,0.18772417
173,11552,1,,5930,-9.46324568,33.95387329,3,DI-187,21.65063521,0.26258276
173,11551,2,,5930,-9.46324568,33.95387329,2,DH-187,21.65063527,3.58011374
174,3326,1,,3458,-10.84909193,39.69424186,5,IW-217,21.65063486,6.45743394
174,3607,2,,3458,-10.84909193,39.69424186,4,IY-216,21.65063519,8.93938085
175,15181,2,,638,-8.86080931,34.00851804,48,DK-174,21.6506355,1.10166502
176,20521,1,,4996,-7.93436739,35.6278811,11,EX-155,21.65063571,4.82515613
176,21359,2,,4996,-7.93436739,35.6278811,4,EY-152,21.65063522,6.68117727
177,31775,2,,3626,-6.15644492,39.21356562,13,IN-115,21.65063535,0.49143877
178,60652,2,,1208,-1.49754357,33.81603689,3,DE-11,21.65063515,0.51391223
179,54491,2,,1853,-2.41581483,32.93551543,38,CH-33,21.65063549,0.62688939
180,5575,2,,1454,-10.34493185,40.24871853,1,JN-209,21.65063558,5.67365855
181,27590,2,,148,-6.84497565,39.27956453,1256,IN-130,21.65063495,1.78505276
182,43462,2,,9155,-4.26984915,38.05020494,11,HI-73,21.65063548,0.3901156
183,30733,1,,5000,-6.19109467,31.22189671,6,AQ-118,21.65063563,10.44583159
183,30454,2,,5000,-6.19109467,31.22189671,1,AQ-119,21.65063541,15.45068177
184,60020,1,,8828,-1.56820611,30.88957993,1,AI-13,21.65063524,2.26783689
184,59741,2,,8828,-1.56820611,30.88957993,4,AI-14,21.65063492,3.82381502
185,48663,1,,7455,-3.25324702,34.21561015,5,DM-54,21.65063544,17.66948092
185,48383,2,,7455,-3.25324702,34.21561015,4,DL-55,21.65063499,22.11995827
186,8342,2,,1541,-9.95411008,39.32896618,2,IQ-199,21.65063518,4.3572419
187,39991,1,,4376,-5.05285781,33.49013642,14,CP-85,21.65063529,38.1153913
187,39430,2,,4376,-5.05285781,33.49013642,4,CM-87,21.65063521,42.52029764
188,55034,1,,6255,-2.40197557,32.33061363,4,BS-31,21.65063508,0.57125955
188,54757,2,,6255,-2.40197557,32.33061363,1,BU-32,21.6506354,6.4921354
189,5190,1,,7051,-10.44232974,36.05889648,24,FL-210,21.65063548,4.56553985
189,4911,2,,7051,-10.44232974,36.05889648,3,FL-211,21.65063558,7.11192206
190,54213,2,,1653,-2.53515039,32.96039055,125,CI-34,21.65063528,0.26600247
191,44789,1,,5883,-4.06512087,35.287878,2,ES-68,21.65063484,6.6222417
191,44510,2,,5883,-4.06512087,35.287878,14,ES-69,21.65063526,7.1104023
192,52234,1,,5113,-2.75271505,31.88174461,1,BI-41,21.65063522,7.87497638
192,52509,2,,5113,-2.75271505,31.88174461,1,BE-40,21.65063562,8.0885861
193,3206,1,,4405,-10.82883369,34.88715401,1,EG-217,21.65063522,0.70397561
193,3205,2,,4405,-10.82883369,34.88715401,9,EF-217,21.65063563,3.41539608
194,52810,1,,3924,-2.77698039,32.70353693,1,CA-39,21.65063531,5.35499305
194,52813,2,,3924,-2.77698039,32.70353693,3,CD-39,21.65063498,6.80233675
195,46192,1,,6642,-3.87124918,35.65140866,3,FA-63,21.65063532,3.55966804
195,45635,2,,6642,-3.87124918,35.65140866,1,FB-65,21.65063528,5.35724521
196,33619,2,,8330,-5.86747215,35.07340002,2,EI-108,21.65063502,7.36932898
197,40124,2,,2550,-4.87336232,38.45562212,2,HS-85,21.65063513,5.00671774
198,31495,2,,2937,-6.18496445,39.20751854,41,IM-116,21.65063535,1.03390402
199,27590,2,,141,-6.79394649,39.25060514,1256,IN-130,21.65063495,1.24127966
200,49583,2,,3657,-3.28725739,37.37457776,2,GR-51,21.65063563,1.04922081
201,12931,1,,8445,-9.33152241,33.33314555,6,CS-182,21.65063482,10.84202846
201,11811,2,,8445,-9.33152241,33.33314555,9,CO-186,21.65063523,16.09850994
202,49309,2,,2996,-3.35345953,37.56766843,4,GW-52,21.65063549,0.81536443
203,38585,2,,7040,-5.01134334,32.80219587,278,CE-90,21.65063534,1.01460857
204,56791,1,,4660,-2.06047855,35.47690956,8,EX-25,21.65063554,7.30070937
204,57071,2,,4660,-2.06047855,35.47690956,7,EY-24,21.65063531,11.27562742
205,47620,2,,8846,-3.54591074,36.98623599,73,GH-58,21.65063527,0.74684975
206,20421,1,,3780,-8.07454891,31.93359156,2,BB-155,21.65063535,30.95502505
206,20420,2,,3780,-8.07454891,31.93359156,102,BA-155,21.6506358,34.15488146
207,33621,1,,8155,-5.86640949,35.13522844,3,EK-108,21.65063523,5.56853672
207,33346,2,,8155,-5.86640949,35.13522844,6,EO-109,21.65063538,7.30481669
208,52810,1,,3807,-2.76908119,32.69199577,1,CA-39,21.65063531,3.80679152
208,52813,2,,3807,-2.76908119,32.69199577,3,CD-39,21.65063498,7.3384205
209,27964,1,,3383,-6.74329579,32.48178859,8,BL-128,21.65063561,45.01678801
209,34957,2,,3383,-6.74329579,32.48178859,46,CD-103,21.6506351,126.31457396
210,17160,1,,7547,-8.59099637,35.1509784,7,EK-167,21.65063498,9.49031167
210,17439,2,,7547,-8.59099637,35.1509784,9,EK-166,21.65063547,12.50930884
211,43356,1,,717,-4.45559913,33.95443295,103,DG-73,21.65063531,18.42224449
211,43084,2,,717,-4.45559913,33.95443295,2,DN-74,21.65063496,26.37485165
212,14887,2,,934,-8.90599987,33.45582863,93,CV-175,21.65063527,1.37704963
213,41144,1,,1458,-4.60328192,34.65739762,2,EA-81,21.65063542,1.20046238
213,41422,2,,1458,-4.60328192,34.65739762,16,DZ-80,21.65063515,2.01702073
214,53912,2,,2534,-2.60928014,32.06952484,4,BM-35,21.6506355,4.04321911
215,59261,1,,8102,-1.72366316,33.96093475,1,DI-16,21.65063511,0.51366663
215,59260,2,,8102,-1.72366316,33.96093475,5,DH-16,21.65063508,3.56169898
216,53917,1,,2102,-2.63641127,32.276207,32,BR-35,21.65063515,9.02340684
